year,dept_code,macrosector,value
2005,52,SERVICIOS,260.3
2005,54,SERVICIOS,515.53
2005,86,SERVICIOS,65.14
2005,63,SERVICIOS,337.62
2005,66,SERVICIOS,335.55
2005,88,SERVICIOS,28.31
2005,68,SERVICIOS,1534.38
2005,70,SERVICIOS,93.55
2005,73,SERVICIOS,312.16
2005,76,SERVICIOS,4942.74
2005,97,SERVICIOS,8.46
2005,99,SERVICIOS,17.18
2005,91,SERVICIOS,0.76
2005,05,SERVICIOS,2679.41
2005,81,SERVICIOS,6.1
2005,08,SERVICIOS,787.66
2005,11,SERVICIOS,5325.26
2005,13,SERVICIOS,748.11
2005,15,SERVICIOS,248.57
2005,17,SERVICIOS,450.63
2005,18,SERVICIOS,67.57
2005,85,SERVICIOS,39.65
2005,19,SERVICIOS,403.36
2005,20,SERVICIOS,144.11
2005,27,SERVICIOS,0.76
2005,23,SERVICIOS,451.4
2005,25,SERVICIOS,769.36
2005,94,SERVICIOS,0.85
2005,95,SERVICIOS,1.52
2005,41,SERVICIOS,158.6
2005,44,SERVICIOS,6.1
2005,47,SERVICIOS,125.05
2005,50,SERVICIOS,205.87
2005,52,SERVICIOS,130.39
2005,54,SERVICIOS,133.44
2005,86,SERVICIOS,10.67
2005,63,SERVICIOS,79.3
2005,66,SERVICIOS,449.83
2005,88,SERVICIOS,16.77
2005,68,SERVICIOS,663.37
2005,70,SERVICIOS,46.51
2005,73,SERVICIOS,263.06
2005,76,SERVICIOS,2265.37
2005,97,SERVICIOS,3.81
2005,99,SERVICIOS,0.76
2005,91,SERVICIOS,79.43
2005,05,SERVICIOS,5125.45
2005,81,SERVICIOS,268.45
2005,08,SERVICIOS,1679.32
2005,11,SERVICIOS,11724.4
2005,13,SERVICIOS,1626.62
2005,15,SERVICIOS,1238.86
2005,17,SERVICIOS,815.3
2005,18,SERVICIOS,357.98
2005,85,SERVICIOS,337.06
2005,19,SERVICIOS,980.35
2005,20,SERVICIOS,774.53
2005,27,SERVICIOS,442.45
2005,23,SERVICIOS,1073.81
2005,25,SERVICIOS,2156.57
2005,94,SERVICIOS,53.69
2005,95,SERVICIOS,131.24
2005,41,SERVICIOS,802.37
2005,44,SERVICIOS,513.04
2005,47,SERVICIOS,879.93
2005,50,SERVICIOS,909.75
2005,52,SERVICIOS,1108.61
2005,54,SERVICIOS,1007.19
2005,86,SERVICIOS,329.1
2005,63,SERVICIOS,460.35
2013,25,SERVICIOS,1126.42
2005,66,SERVICIOS,728.8
2005,88,SERVICIOS,97.44
2005,68,SERVICIOS,1823.49
2005,70,SERVICIOS,694.99
2005,73,SERVICIOS,1173.24
2005,76,SERVICIOS,3820.97
2005,97,SERVICIOS,39.77
2005,99,SERVICIOS,93.46
2005,91,SERVICIOS,4.7
2005,05,SERVICIOS,1126.15
2005,81,SERVICIOS,10.77
2005,08,SERVICIOS,412.42
2005,11,SERVICIOS,3208.43
2005,13,SERVICIOS,167.53
2005,15,SERVICIOS,91.47
2005,17,SERVICIOS,156.55
2005,18,SERVICIOS,33.67
2005,85,SERVICIOS,22.18
2005,19,SERVICIOS,95.11
2005,20,SERVICIOS,61.72
2005,27,SERVICIOS,19.93
2005,23,SERVICIOS,115.31
2005,25,SERVICIOS,267.09
2005,94,SERVICIOS,2.24
2005,95,SERVICIOS,5.38
2005,41,SERVICIOS,164.97
2005,44,SERVICIOS,52.26
2005,47,SERVICIOS,127.93
2005,50,SERVICIOS,108.57
2005,52,SERVICIOS,118.67
2005,54,SERVICIOS,204.52
2005,86,SERVICIOS,17.67
2005,63,SERVICIOS,93.42
2005,66,SERVICIOS,200.32
2005,88,SERVICIOS,3.73
2005,68,SERVICIOS,291.98
2005,70,SERVICIOS,54.71
2005,73,SERVICIOS,137.7
2005,76,SERVICIOS,687.21
2005,97,SERVICIOS,1.68
2005,99,SERVICIOS,3.01
2005,91,SERVICIOS,7.97
2005,05,SERVICIOS,4601.94
2005,81,SERVICIOS,49.06
2005,08,SERVICIOS,1331.23
2005,11,SERVICIOS,9229.54
2005,13,SERVICIOS,1556.0
2005,15,SERVICIOS,566.55
2005,17,SERVICIOS,557.98
2005,18,SERVICIOS,57.11
2005,85,SERVICIOS,200.59
2005,19,SERVICIOS,408.23
2005,20,SERVICIOS,258.22
2005,27,SERVICIOS,27.69
2005,23,SERVICIOS,305.71
2005,25,SERVICIOS,1819.12
2005,94,SERVICIOS,3.98
2005,95,SERVICIOS,7.26
2005,41,SERVICIOS,310.3
2005,44,SERVICIOS,139.4
2005,47,SERVICIOS,213.08
2005,50,SERVICIOS,477.11
