nit,razon_social,macrosector_calc,region_calc,ingresos,ganancias,Prediccion_Margen,Ganancia_Proyectada_Mils
800083425,IDT ELECTRIC LTDA,COMERCIO,Andina,2,0.0,0.014045285011107245,0.02809057002221449
900114572,INTERAMBIENTE INGENIERIA SAS,CONSTRUCCION,Andina,1,0.0,0.012279643602482295,0.012279643602482295
891900090,GRAJALES S.A.,AGROPECUARIO,Pacifico,1,0.9252669039145908,0.04240453684010294,0.04240453684010294
900115861,SU MOTO DE COLOMBIA S.A.,COMERCIO,Andina,1,0.0,0.011698802945214826,0.011698802945214826
891801918,SOELCO SAS,COMERCIO,Andina,1,0.0,0.011698802945214826,0.011698802945214826
901250230,CONSTRUCTORA VILLA OLIMPICA SAS,CONSTRUCCION,Caribe,1,0.0,0.012279643602482295,0.012279643602482295
891801317,COBASEC LTDA,SERVICIOS,Andina,5,0.0,0.040694783966311224,0.2034739198315561
891800982,EMPRESA  SOCIAL DEL ESTADO CENTRO DE REHABILITACION INTEGRAL DE BOYACA,SALUD,Andina,1,0.0,0.013520799423489096,0.013520799423489096
900114825,AGROPECUARIA LOS MOLINOS SAS,AGROPECUARIO,Andina,2,0.0,0.04176238460088585,0.0835247692017717
891855847,SOCIEDAD CLINICA CASANARE LTDA,SALUD,Orinoquia,3,0.0,0.027441999670115184,0.08232599901034555
901226590,MAFEJ LOGISTICA SAS,COMERCIO,Andina,3,0.0,0.023166885977949386,0.06950065793384816
901225532,SOLUCIONES LOGISTICAS Y EMPAQUES S.A.S,SERVICIOS,Andina,1,0.0,-0.0058643648604530365,-0.0058643648604530365
891401781,AVINCO S.A.S.,ALIMENTICIO,Andina,2,0.0,0.014626125668374713,0.029252251336749427
900126199,VALORES INMOBILIARIOS HG SA,INMOBILIARIO,Andina,2,1.8505338078291815,0.18594639841348684,0.3718927968269737
901220947,QUQO SAS,COMERCIO,Andina,1,-0.9252669039145908,0.011698802945214826,0.011698802945214826
800106051,NOVOA ALARCON FARMACEUTICOS LTDA,MANUFACTURA,Andina,1,0.0,0.012279643602482295,0.012279643602482295
901221417,COPACABANA DESARROLLOS INMOBILIARIOS SAS,CONSTRUCCION,Andina,5,0.9252669039145908,0.028322601331855223,0.14161300665927612
901223046,SHARON MEDICAL GROUP SAS,SALUD,Andina,2,0.0,0.015316714411466523,0.030633428822933045
